id,nazwa,dystans_km,liczba_punktow,typ,start_lat,start_lon,end_lat,end_lon
1,40 Wolbórz - Skierniewice,62.0,3207,średnia,51.514645,19.834688,51.974443,20.149771
2,39 Skierniewice - Wolbórz,72.2,3449,średnia,51.979,20.150962,51.514792,19.834708
3,38 pętla Skierniewicka,115.2,5286,długa,51.974657,20.149901,51.974486,20.149788
4,37 PTTK Skierniewice,48.3,2392,krótka,51.974327,20.149775,51.974503,20.149677
5,36 wycieczka,54.4,2447,średnia,51.974515,20.149874,51.974509,20.149783
6,35 Skierniewice,91.6,4191,średnia,51.974353,20.149701,51.974426,20.149773
7,34 Wolbórz - Skierniewice,131.1,6544,długa,51.514691,19.83463,51.974372,20.149759
8,33 Skierniewice - Wolbórz,88.3,4229,średnia,51.9786,20.150701,51.514794,19.834733
9,32 wycieczka,64.3,2940,średnia,51.974281,20.149769,51.974482,20.149787
10,31 wycieczka Wolbórz - Skierniewice,60.3,2963,średnia,51.514676,19.834682,51.974396,20.14981
11,30 wycieczkaSkierniewice - Wolbórz,71.9,3920,średnia,51.974264,20.149751,51.515028,19.834694
12,29 wycieczka,27.8,1272,krótka,51.974309,20.149748,51.974425,20.149767
13,28 wycieczka r,150.1,6927,długa,51.974658,20.14985,51.974346,20.149749
14,27 wycieczka,21.4,969,krótka,51.974272,20.149866,51.974513,20.149789
15,26 wycieczka,71.6,3378,średnia,51.974688,20.149819,51.974417,20.149773
16,25 wycieczka,113.2,5321,długa,51.97468,20.149831,51.974378,20.149712
17,24 wyc,87.1,4024,średnia,51.974653,20.149966,51.974436,20.149835
18,23 wycieczka,64.2,2968,średnia,51.974724,20.149713,51.974413,20.14982
19,22 wycieczka Rajd,34.7,1602,krótka,51.961363,20.157175,51.942288,20.150325
20,21 ustawka klubowa,50.0,2265,średnia,51.97433,20.149708,51.974481,20.149767
21,20 Wolbórz - Skierniewice,120.6,5642,długa,51.514682,19.834671,51.974391,20.149765
22,18 wycieczka,32.8,1510,krótka,51.974568,20.149987,51.974549,20.149802
23,19 wycieczka,64.3,2984,średnia,51.974297,20.149724,51.514771,19.834709
24,17 Wycieczka,49.3,2192,krótka,51.974352,20.149769,51.974365,20.149771
25,16 wycieczka,87.5,3788,średnia,51.974325,20.149697,51.974424,20.149819
26,15 wycieczka,69.7,3062,średnia,51.974295,20.149745,51.974532,20.14974
27,14 wycieczka,39.1,1807,krótka,51.974612,20.149989,51.974492,20.14973
28,13 wycieczka klubowa,65.5,2933,średnia,51.974216,20.149737,51.974456,20.149824
29,12 wycieczka,107.4,4850,długa,51.974307,20.149776,51.974409,20.149789
30,11 wycieczka,67.8,3117,średnia,51.974633,20.149899,51.974373,20.149761
31,10 wycieczka,62.7,2774,średnia,51.975469,20.147962,51.974592,20.149807
32,9 wycieczka,71.9,3208,średnia,52.000938,20.184572,51.974393,20.149787
33,8 trasa marzec,64.0,2866,średnia,51.974689,20.149873,51.974414,20.149675
34,7 wycieczka,144.8,6416,długa,51.974284,20.149702,51.974564,20.149797
35,Skierniewice miasto,13.6,619,krótka,51.974295,20.149804,51.974365,20.149734
36,6 ustawka klubowa,57.8,2519,średnia,51.974332,20.149765,51.974439,20.149796
37,5 wycieczka,62.3,2762,średnia,51.974657,20.149961,51.974652,20.149826
38,4 wyciwczka Skierniewice - Czerniewice -Biała Rawska,118.8,5268,długa,51.974688,20.149857,51.974437,20.149779
39,3 Marcowa wycieczka Skierniewice-Domaniewice -Gluchów-Skierniewice,100.1,4372,długa,51.96058,20.13791,51.974403,20.149775
40,2 Marcowa wycieczka,106.8,4811,długa,51.974629,20.149918,51.9744,20.149771
41,1 Marcowa wycieczka,67.0,2963,średnia,51.974482,20.149752,51.974367,20.149811
42,luty,50.3,2290,średnia,51.97468,20.149882,51.974507,20.149767
43,40 Wolbórz - Skierniewice,62.0,3207,średnia,51.514645,19.834688,51.974443,20.149771
44,39 Skierniewice - Wolbórz,72.2,3449,średnia,51.979,20.150962,51.514792,19.834708
45,38 pętla Skierniewicka,115.2,5286,długa,51.974657,20.149901,51.974486,20.149788
46,37 PTTK Skierniewice,48.3,2392,krótka,51.974327,20.149775,51.974503,20.149677
47,36 wycieczka,54.4,2447,średnia,51.974515,20.149874,51.974509,20.149783
48,35 Skierniewice,91.6,4191,średnia,51.974353,20.149701,51.974426,20.149773
49,34 Wolbórz - Skierniewice,131.1,6544,długa,51.514691,19.83463,51.974372,20.149759
50,33 Skierniewice - Wolbórz,88.3,4229,średnia,51.9786,20.150701,51.514794,19.834733
51,32 wycieczka,64.3,2940,średnia,51.974281,20.149769,51.974482,20.149787
52,31 wycieczka Wolbórz - Skierniewice,60.3,2963,średnia,51.514676,19.834682,51.974396,20.14981
53,30 wycieczkaSkierniewice - Wolbórz,71.9,3920,średnia,51.974264,20.149751,51.515028,19.834694
54,29 wycieczka,27.8,1272,krótka,51.974309,20.149748,51.974425,20.149767
55,28 wycieczka r,150.1,6927,długa,51.974658,20.14985,51.974346,20.149749
56,26 wycieczka,71.6,3378,średnia,51.974688,20.149819,51.974417,20.149773
57,27 wycieczka,21.4,969,krótka,51.974272,20.149866,51.974513,20.149789
58,24 wyc,87.1,4024,średnia,51.974653,20.149966,51.974436,20.149835
59,Wyszogród,119.7,34256,długa,51.974492,20.149785,51.974516,20.149747
60,25 wycieczka,113.2,5321,długa,51.97468,20.149831,51.974378,20.149712
61,Wyzwanie 1 ok,94.4,4540,średnia,51.974627,20.149713,51.974417,20.149814
62,23 wycieczka,64.2,2968,średnia,51.974724,20.149713,51.974413,20.14982
63,22 wycieczka Rajd,34.7,1602,krótka,51.961363,20.157175,51.942288,20.150325
64,21 ustawka klubowa,50.0,2265,średnia,51.97433,20.149708,51.974481,20.149767
65,20 Wolbórz - Skierniewice,120.6,5642,długa,51.514682,19.834671,51.974391,20.149765
66,19 wycieczka,64.3,2984,średnia,51.974297,20.149724,51.514771,19.834709
67,18 wycieczka,32.8,1510,krótka,51.974568,20.149987,51.974549,20.149802
68,17 Wycieczka,49.3,2192,krótka,51.974352,20.149769,51.974365,20.149771
69,16 wycieczka,87.5,3788,średnia,51.974325,20.149697,51.974424,20.149819
70,15 wycieczka,69.7,3062,średnia,51.974295,20.149745,51.974532,20.14974
71,14 wycieczka,39.1,1807,krótka,51.974612,20.149989,51.974492,20.14973
72,13 wycieczka klubowa,65.5,2933,średnia,51.974216,20.149737,51.974456,20.149824
73,12 wycieczka,107.4,4850,długa,51.974307,20.149776,51.974409,20.149789
74,11 wycieczka,67.8,3117,średnia,51.974633,20.149899,51.974373,20.149761
